"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01293099999","2024-01-01","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  19.1","24","   9.0","24","1016.5","24","994.7","24","999.9"," 0","  8.6","24"," 13.6","999.9","  23.4"," ","  13.1"," "," 0.00","G"," 10.6","000000"
"01293099999","2024-01-02","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  14.0","24","   2.3","24","1016.8","24","994.7","24","999.9"," 0","  8.9","24"," 15.5","999.9","  17.2"," ","  10.4"," "," 0.00","G"," 10.2","000000"
"01293099999","2024-01-03","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  12.9","21","   1.3","21","1012.1","21","990.1","21","999.9"," 0","  8.8","21"," 15.5","999.9","  14.9"," ","   6.8"," "," 0.00","G"," 10.2","000000"
"01293099999","2024-01-04","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   6.0","24","  -3.8","24","1012.8","24","990.4","24","999.9"," 0","  5.3","24","  9.7","999.9","  13.6"," ","  -8.1"," "," 0.00","G","  9.8","000000"
"01293099999","2024-01-05","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   5.9","24","   1.4","24","1014.8","24","992.4","24","999.9"," 0","  1.5","24","  3.9","999.9","  15.4"," ","  -9.2"," "," 0.00","G","  9.8","000000"
"01293099999","2024-01-06","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  12.4","24","  10.0","24","1023.4","24","001.1","24","999.9"," 0","  1.4","24","  1.9","999.9","  19.9"," ","   3.2"," "," 0.00","G","  9.8","000000"
"01293099999","2024-01-07","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   1.0","24","  -2.0","24","1033.6","24","010.5","24","999.9"," 0","  1.8","24","  3.9","999.9","  10.6"," ","  -4.5"," "," 0.00","G","  9.8","000000"
"01293099999","2024-01-08","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  32.1","24","  31.4","24","1034.9","24","013.2","24","999.9"," 0","  2.4","24","  3.9","999.9","  36.1"," ","  14.4","*"," 0.02","G","  9.4","000000"
"01293099999","2024-01-09","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  37.0","24","  35.9","24","1034.8","24","013.4","24","999.9"," 0","  2.8","24","  5.8","999.9","  39.0"," ","  33.6"," "," 0.24","G","  8.3","000000"
"01293099999","2024-01-10","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  38.2","24","  36.1","24","1030.9","24","009.6","24","999.9"," 0","  4.6","24","  9.7","999.9","  40.3"," ","  35.6"," "," 0.15","G","  7.1","000000"
"01293099999","2024-01-11","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  37.2","24","  35.7","24","1028.9","24","007.6","24","999.9"," 0","  4.3","24","  7.8","999.9","  40.6"," ","  35.2"," "," 0.54","G","  5.1","000000"
"01293099999","2024-01-12","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  37.2","24","  34.6","24","1017.3","24","996.2","24","999.9"," 0","  5.2","24","  9.7","999.9","  40.3"," ","  35.2"," "," 0.30","G","  2.8","000000"
"01293099999","2024-01-13","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  34.6","24","  33.1","24"," 996.5","24","975.7","24","999.9"," 0","  3.4","24","  7.8","999.9","  40.3"," ","  33.1"," "," 0.30","G","  2.0","000000"
"01293099999","2024-01-14","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  24.9","24","  23.4","24"," 992.6","24","971.6","24","999.9"," 0","  1.6","24","  3.9","999.9","  35.8"," ","  14.0"," "," 0.50","G","  6.3","000000"
"01293099999","2024-01-15","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   6.5","24","   3.6","24"," 997.3","24","975.3","24","999.9"," 0","  2.1","24","  3.9","999.9","  17.4"," ","  -8.7"," "," 0.13","G","  5.5","000000"
"01293099999","2024-01-16","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   6.8","24","   3.7","24"," 992.7","24","970.8","24","999.9"," 0","  1.8","24","  3.9","999.9","  17.2"," ","  -8.9"," "," 0.00","G","  5.1","000000"
"01293099999","2024-01-17","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   0.7","24","  -4.0","24"," 988.5","24","966.5","24","999.9"," 0","  4.1","24","  5.8","999.9","  16.7"," ","  -6.5"," "," 0.00","G","  5.1","000000"
"01293099999","2024-01-18","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   1.0","24","  -2.6","24"," 989.8","24","967.7","24","999.9"," 0","  2.2","24","  5.8","999.9","   6.6"," ","  -7.4"," "," 0.02","G","  5.9","000000"
"01293099999","2024-01-19","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  -2.6","24","  -6.3","24"," 999.1","24","976.6","24","999.9"," 0","  1.9","24","  3.9","999.9","   4.5"," ","  -9.4"," "," 0.00","G","  5.9","000000"
"01293099999","2024-01-20","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   8.3","24","   4.0","24","1009.5","24","987.3","24","999.9"," 0","  2.8","24","  5.8","999.9","  27.9"," ","  -4.9"," "," 0.00","G","  5.5","000000"
"01293099999","2024-01-21","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  31.5","24","  23.2","24"," 996.0","24","975.1","24","999.9"," 0","  6.0","24"," 17.5","999.9","  38.5"," ","  20.5"," "," 0.00","G","  5.9","000000"
"01293099999","2024-01-22","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  38.8","24","  31.0","24"," 967.9","24","947.9","24","999.9"," 0","  7.1","24"," 17.5","999.9","  43.5"," ","  26.6"," "," 0.00","G","  2.8","000000"
"01293099999","2024-01-23","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  34.4","24","  32.9","24"," 988.6","24","968.0","24","999.9"," 0","  3.6","24","  9.7","999.9","  41.4"," ","  30.4"," "," 0.31","E","  2.0","000000"
"01293099999","2024-01-24","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  35.3","24","  27.9","24"," 987.0","24","966.4","24","999.9"," 0","  4.8","24"," 11.7","999.9","  38.3"," ","  30.4"," "," 0.00","F","  2.0","000000"
"01293099999","2024-01-25","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  32.3","24","  31.2","24","1013.7","24","992.5","24","999.9"," 0","  2.4","24","  3.9","999.9","  35.4"," ","  25.9"," "," 0.22","G","  3.1","000000"
"01293099999","2024-01-26","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  35.9","24","  28.8","24","1002.3","24","981.4","24","999.9"," 0","  6.4","24"," 17.5","999.9","  39.4"," ","  25.9"," "," 0.04","G","  2.4","000000"
"01293099999","2024-01-27","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  38.4","24","  27.4","24","1007.8","24","987.0","24","999.9"," 0","  7.9","24"," 17.5","999.9","  44.1"," ","  32.0"," "," 0.08","G","  2.0","000000"
"01293099999","2024-01-28","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  42.1","24","  31.9","24","1007.0","24","986.4","24","999.9"," 0","  5.8","24"," 13.6","999.9","  48.2"," ","  34.2"," "," 0.11","G","  0.8","000000"
"01293099999","2024-01-29","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  41.0","24","  27.1","24","1011.0","24","990.2","24","999.9"," 0","  9.6","24"," 17.5","999.9","  48.2"," ","  34.0"," "," 0.19","G","999.9","000000"
"01293099999","2024-01-30","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  25.6","24","  17.9","24","1019.7","24","998.1","24","999.9"," 0","  2.8","24","  5.8","999.9","  42.4"," ","  15.6"," "," 0.00","G","999.9","000000"
"01293099999","2024-01-31","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  29.9","24","  20.7","24"," 994.6","24","973.7","24","999.9"," 0","  6.8","24"," 21.4","999.9","  41.2"," ","  14.9"," "," 0.00","G","999.9","000000"
"01293099999","2024-02-01","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  31.7","24","  27.5","24"," 992.0","24","971.2","24","999.9"," 0","  9.8","24"," 17.5","999.9","  40.6"," ","  28.6"," "," 0.11","G","  4.7","000000"
"01293099999","2024-02-02","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  36.2","24","  29.4","24"," 991.5","24","970.9","24","999.9"," 0","  8.0","24"," 15.5","999.9","  44.8"," ","  28.2"," "," 0.32","G","  3.1","000000"
"01293099999","2024-02-03","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  34.0","24","  28.9","24"," 982.9","24","962.4","24","999.9"," 0"," 13.6","24"," 21.4","999.9","  44.8"," ","  30.0"," "," 0.96","G","  6.7","000000"
"01293099999","2024-02-04","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  27.3","24","  25.5","24"," 986.4","24","965.6","24","999.9"," 0","  5.6","24"," 13.6","999.9","  32.7"," ","  18.7"," "," 0.55","G"," 15.7","000000"
"01293099999","2024-02-05","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  24.2","24","  22.6","24"," 995.9","24","974.7","24","999.9"," 0","  2.1","24","  3.9","999.9","  28.8"," ","  16.5"," "," 0.33","G"," 13.8","000000"
"01293099999","2024-02-06","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  16.7","24","  13.3","24"," 997.3","24","975.8","24","999.9"," 0","  3.0","24","  5.8","999.9","  28.0"," ","   2.5"," "," 0.02","G"," 12.6","000000"
"01293099999","2024-02-07","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  -0.8","24","  -4.8","24"," 997.4","24","975.1","24","999.9"," 0","  1.8","24","  3.9","999.9","  11.8"," ","  -7.1"," "," 0.00","G"," 11.8","000000"
"01293099999","2024-02-08","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","   3.2","24","   0.2","24"," 998.9","24","976.7","24","999.9"," 0","  1.5","24","  3.9","999.9","  13.1"," ","  -8.7"," "," 0.00","G"," 11.0","000000"
"01293099999","2024-02-09","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  11.5","24","   7.5","24","1006.1","24","984.2","24","999.9"," 0","  2.3","24","  3.9","999.9","  23.4"," ","   1.6"," "," 0.00","G"," 10.6","000000"
"01293099999","2024-02-10","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  11.0","24","   3.1","24","1010.4","24","988.4","24","999.9"," 0","  6.2","24"," 11.7","999.9","  16.9"," ","   0.3"," "," 0.00","G","  9.8","000000"
"01293099999","2024-02-11","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  21.8","24","  11.6","24","1007.6","24","986.1","24","999.9"," 0","  6.9","24","  9.7","999.9","  26.4"," ","  12.7"," "," 0.00","G","  9.4","000000"
"01293099999","2024-02-12","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  25.1","23","  13.3","23","1008.6","23","987.2","23","999.9"," 0"," 10.1","23"," 17.5","999.9","  28.4"," ","  21.4"," "," 0.00","G","  9.1","000000"
"01293099999","2024-02-13","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  22.5","24","  12.5","24","1007.7","24","986.2","24","999.9"," 0","  6.6","24","  9.7","999.9","  26.8"," ","  18.1"," "," 0.00","G","  7.9","000000"
"01293099999","2024-02-14","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  22.9","24","  16.4","24","1008.1","24","986.6","24","999.9"," 0","  3.4","24","  5.8","999.9","  36.3"," ","   9.3"," "," 0.00","G","  7.9","000000"
"01293099999","2024-02-15","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  32.3","21","  23.7","21","1013.9","21","992.7","21","999.9"," 0","  2.4","21","  5.8","999.9","  41.5"," ","  22.8"," "," 0.00","G","  7.9","000000"
"01293099999","2024-02-16","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  32.9","24","  28.6","24","1006.6","24","985.6","24","999.9"," 0","  4.2","24","  7.8","999.9","  35.2"," ","  22.8"," "," 0.06","G","  9.1","000000"
"01293099999","2024-02-17","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  29.9","24","  26.5","24","1022.4","24","001.0","24","999.9"," 0","  4.2","24","  9.7","999.9","  34.0"," ","  24.8"," "," 0.08","G"," 10.2","000000"
"01293099999","2024-02-18","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  18.5","24","  13.7","24","1022.8","24","000.8","24","999.9"," 0","  3.0","24","  5.8","999.9","  33.3"," ","   9.5"," "," 0.04","G","  9.8","000000"
"01293099999","2024-02-19","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  14.5","24","   9.3","24","1015.5","24","993.5","24","999.9"," 0","  3.2","24","  5.8","999.9","  24.8"," ","   7.2"," "," 0.00","G","  9.4","000000"
"01293099999","2024-02-20","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  29.4","24","  25.7","24","1007.4","24","986.2","24","999.9"," 0","  2.1","24","  7.8","999.9","  41.2"," ","  13.5"," "," 0.04","G","  8.7","000000"
"01293099999","2024-02-21","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  34.4","24","  31.7","24","1000.1","24","979.3","24","999.9"," 0","  2.8","24"," 11.7","999.9","  41.4"," ","  29.3"," "," 0.14","G","  7.9","000000"
"01293099999","2024-02-22","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  41.5","24","  29.4","24"," 984.0","24","963.8","24","999.9"," 0","  7.5","24"," 17.5","999.9","  45.9"," ","  29.3"," "," 0.02","G","  6.3","000000"
"01293099999","2024-02-23","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  41.0","24","  30.9","24"," 972.9","24","952.9","24","999.9"," 0","  7.4","24"," 13.6","999.9","  44.4"," ","  36.5"," "," 0.00","G","  4.7","000000"
"01293099999","2024-02-24","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  38.7","24","  25.1","24"," 989.5","24","969.1","24","999.9"," 0","  7.0","24"," 13.6","999.9","  43.2"," ","  34.2"," "," 0.05","G","  3.1","000000"
"01293099999","2024-02-25","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  35.6","24","  22.9","24"," 997.4","24","976.7","24","999.9"," 0","  5.8","24"," 13.6","999.9","  41.7"," ","  28.6"," "," 0.00","G","  3.1","000000"
"01293099999","2024-02-26","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  33.4","24","  28.9","24","1010.9","24","989.8","24","999.9"," 0","  2.7","24","  5.8","999.9","  39.6"," ","  28.2"," "," 0.02","G","  3.9","000000"
"01293099999","2024-02-27","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  30.3","24","  21.0","24","1007.1","24","986.0","24","999.9"," 0","  4.4","24","  7.8","999.9","  35.8"," ","  19.2"," "," 0.09","G","  3.1","000000"
"01293099999","2024-02-28","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  39.0","23","  25.6","23","1002.1","23","981.4","23","999.9"," 0","  5.8","23"," 13.6","999.9","  44.1"," ","  32.4"," "," 0.00","G","  2.8","000000"
"01293099999","2024-02-29","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  42.1","24","  29.4","24"," 996.8","24","976.4","24","999.9"," 0","  9.6","24"," 19.4","999.9","  45.0"," ","  37.4"," "," 0.00","G","  1.2","000000"
"01293099999","2024-03-01","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  43.9","23","  31.6","23","1003.3","23","982.8","23","999.9"," 0","  7.9","23"," 17.5","999.9","  46.9"," ","  41.4"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-02","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  42.7","24","  31.9","24","1012.2","24","991.4","24","999.9"," 0","  4.3","24","  7.8","999.9","  47.5"," ","  35.4"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-03","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  40.1","24","  33.8","24","1018.2","24","997.3","24","999.9"," 0","  4.0","24","  5.8","999.9","  44.8"," ","  34.0"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-04","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  40.0","24","  32.6","24","1024.8","24","003.7","24","999.9"," 0","  4.9","24","  7.8","999.9","  43.2"," ","  34.7"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-05","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  36.5","24","  25.8","24","1030.6","24","009.2","24","999.9"," 0","  5.7","24"," 11.7","999.9","  43.9"," ","  25.5"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-06","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  31.1","24","  18.9","24","1032.1","24","010.4","24","999.9"," 0","  3.2","24","  7.8","999.9","  50.2"," ","  19.8"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-07","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  27.4","23","  21.2","23","1033.8","23","012.0","23","999.9"," 0","  1.1","23","  1.9","999.9","  34.9"," ","  18.1"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-08","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  33.5","24","  29.4","24","1027.8","24","006.4","24","999.9"," 0","  1.1","24","  1.9","999.9","  39.6"," ","  30.4"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-09","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  30.9","24","  24.1","24","1022.9","24","001.5","24","999.9"," 0","  4.0","24","  7.8","999.9","  34.3"," ","  27.1"," "," 0.03","G","  0.8","000000"
"01293099999","2024-03-10","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  26.5","24","  15.4","24","1022.5","24","000.9","24","999.9"," 0","  5.3","24","  7.8","999.9","  32.7"," ","  17.8"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-11","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  23.9","24","  14.0","24","1020.6","24","998.9","24","999.9"," 0","  3.6","24","  5.8","999.9","  35.6"," ","  12.7"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-12","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  29.1","23","  17.4","23","1015.1","23","993.8","23","999.9"," 0","  2.3","23","  5.8","999.9","  46.2"," ","  16.5"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-13","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  34.8","24","  26.0","24","1002.7","24","981.8","24","999.9"," 0","  6.0","24"," 13.6","999.9","  45.1"," ","  22.3"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-14","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  43.5","23","  30.4","23"," 989.0","23","968.8","23","999.9"," 0","  9.0","23"," 17.5","999.9","  49.3"," ","  34.7"," "," 0.13","G","999.9","000000"
"01293099999","2024-03-15","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  38.7","24","  30.8","24"," 998.3","24","977.7","24","999.9"," 0","  3.9","24","  7.8","999.9","  45.0"," ","  33.6"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-16","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  30.4","24","  19.9","24","1014.0","24","992.7","24","999.9"," 0","  3.9","24","  7.8","999.9","  36.3"," ","  22.5"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-17","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  27.9","24","  13.9","24","1023.2","24","001.7","24","999.9"," 0","  4.0","24","  7.8","999.9","  36.7"," ","  14.7"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-18","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  35.0","24","  16.5","24","1017.5","24","996.3","24","999.9"," 0","  6.1","24","  9.7","999.9","  41.7"," ","  28.9"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-19","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  38.5","23","  23.6","23","1012.3","23","991.4","23","999.9"," 0","  4.5","23","  7.8","999.9","  48.6"," ","  29.5"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-20","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  36.9","24","  32.7","24","1015.1","24","994.1","24","999.9"," 0","  2.2","24","  5.8","999.9","  42.3"," ","  32.9"," "," 0.03","G","999.9","000000"
"01293099999","2024-03-21","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  38.1","24","  30.6","24","1009.9","24","989.0","24","999.9"," 0","  4.8","24"," 11.7","999.9","  44.6"," ","  31.5"," "," 0.06","G","999.9","000000"
"01293099999","2024-03-22","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  39.1","24","  29.6","24"," 992.5","24","972.1","24","999.9"," 0","  4.6","24","  9.7","999.9","  47.3"," ","  27.9"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-23","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  33.8","24","  26.9","24"," 992.1","24","971.4","24","999.9"," 0","  3.5","24","  5.8","999.9","  43.9"," ","  24.4"," "," 0.04","G","999.9","000000"
"01293099999","2024-03-24","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  32.0","24","  26.6","24"," 999.4","24","978.5","24","999.9"," 0","  3.5","24","  7.8","999.9","  38.8"," ","  27.7"," "," 0.00","G","999.9","000000"
"01293099999","2024-03-25","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  28.6","24","  23.3","24","1004.1","24","983.0","24","999.9"," 0","  2.0","24","  3.9","999.9","  37.6"," ","  18.1"," "," 0.02","G","999.9","000000"
"01293099999","2024-03-26","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  24.1","17","  15.9","17","1004.2","17","982.8","17","999.9"," 0","  3.0","17","  7.8","999.9","  36.7"," ","  12.7"," "," 0.03","G","999.9","000000"
"01293099999","2024-03-27","63.4166666","11.7333333","171.0","MERAKER EGGE, NO","  39.6","14","  27.3","14"," 996.2","14","975.7","14","999.9"," 0","  7.1","14"," 13.6","999.9","  44.4"," ","  24.6"," "," 0.00","G","999.9","000000"
